start_id,step_id,candidate_id,x,y,yaw,valid,information_gain,path_cost,score
8,1,18,4.4,-3.0,4.7124,True,27,1.5,24.0
8,1,19,4.7882,-2.9489,4.9742,True,14,1.5,11.0
8,1,20,5.15,-2.799,5.236,True,6,1.5,3.0
8,1,21,5.4607,-2.5607,5.4978,True,3,1.5,0.0
8,1,22,5.699,-2.25,5.7596,True,3,1.5,-0.0
8,1,23,5.8489,-1.8882,6.0214,True,2,1.5,-1.0
8,2,0,4.601,-2.25,0.0,True,4,1.5,1.0
8,2,1,4.5499,-1.8618,0.2618,True,2,1.5,-1.0
8,2,2,4.4,-1.5,0.5236,True,0,1.5,-3.0
8,2,3,4.1617,-1.1893,0.7854,False,0,1.5,-9999.0
8,2,4,3.851,-0.951,1.0472,False,0,1.5,-9999.0
8,2,5,3.4892,-0.8011,1.309,False,0,1.5,-9999.0
8,2,6,3.101,-0.75,1.5708,False,0,1.5,-9999.0
8,2,7,2.7128,-0.8011,1.8326,True,12,1.5,9.0
8,2,8,2.351,-0.951,2.0944,True,7,1.5,4.0
8,2,9,2.0403,-1.1893,2.3562,False,0,1.5,-9999.0
8,2,10,1.802,-1.5,2.618,False,0,1.5,-9999.0
8,2,11,1.6521,-1.8618,2.8798,False,0,1.5,-9999.0
8,2,12,1.601,-2.25,3.1416,False,0,1.5,-9999.0
8,2,13,1.6521,-2.6382,3.4034,False,0,1.5,-9999.0
8,2,14,1.802,-3.0,3.6652,True,118,1.5,115.0
8,2,15,2.0403,-3.3107,3.927,True,90,1.5,87.0
8,2,16,2.351,-3.549,4.1888,True,55,1.5,52.0
8,2,17,2.7128,-3.6989,4.4506,True,34,1.5,31.0
8,2,18,3.101,-3.75,4.7124,True,19,1.5,16.0
8,2,19,3.4892,-3.6989,4.9742,True,11,1.5,8.0
8,2,20,3.851,-3.549,5.236,True,6,1.5,3.0
8,2,21,4.1617,-3.3107,5.4978,True,4,1.5,1.0
8,2,22,4.4,-3.0,5.7596,True,2,1.5,-1.0
8,2,23,4.5499,-2.6382,6.0214,True,4,1.5,1.0
8,3,0,3.302,-3.0,0.0,True,1,1.5,-2.0
8,3,1,3.2509,-2.6118,0.2618,True,0,1.5,-3.0
8,3,2,3.101,-2.25,0.5236,True,0,1.5,-3.0
8,3,3,2.8627,-1.9393,0.7854,True,0,1.5,-3.0
8,3,4,2.552,-1.701,1.0472,False,0,1.5,-9999.0
8,3,5,2.1902,-1.5511,1.309,False,0,1.5,-9999.0
8,3,6,1.802,-1.5,1.5708,True,66,1.5,63.0
8,3,7,1.4138,-1.5511,1.8326,True,90,1.5,87.0
8,3,8,1.052,-1.701,2.0944,True,115,1.5,112.0
8,3,9,0.7413,-1.9393,2.3562,True,133,1.5,130.0
8,3,10,0.503,-2.25,2.618,True,132,1.5,129.0
8,3,11,0.3531,-2.6118,2.8798,True,111,1.5,108.0
8,3,12,0.302,-3.0,3.1416,True,91,1.5,88.0
8,3,13,0.3531,-3.3882,3.4034,True,69,1.5,66.0
8,3,14,0.503,-3.75,3.6652,True,49,1.5,46.0
8,3,15,0.7413,-4.0607,3.927,False,0,1.5,-9999.0
8,3,16,1.052,-4.299,4.1888,False,0,1.5,-9999.0
8,3,17,1.4138,-4.4489,4.4506,False,0,1.5,-9999.0
8,3,18,1.802,-4.5,4.7124,False,0,1.5,-9999.0
8,3,19,2.1902,-4.4489,4.9742,False,0,1.5,-9999.0
8,3,20,2.552,-4.299,5.236,False,0,1.5,-9999.0
8,3,21,2.8627,-4.0607,5.4978,False,0,1.5,-9999.0
8,3,22,3.101,-3.75,5.7596,True,0,1.5,-3.0
8,3,23,3.2509,-3.3882,6.0214,True,2,1.5,-1.0
8,4,0,2.2413,-1.9393,0.0,False,0,1.5,-9999.0
8,4,1,2.1902,-1.5511,0.2618,False,0,1.5,-9999.0
8,4,2,2.0403,-1.1893,0.5236,False,0,1.5,-9999.0
8,4,3,1.802,-0.8786,0.7854,True,25,1.5,22.0
8,4,4,1.4913,-0.6403,1.0472,True,37,1.5,34.0
8,4,5,1.1295,-0.4904,1.309,True,50,1.5,47.0
8,4,6,0.7413,-0.4393,1.5708,True,69,1.5,66.0
8,4,7,0.3531,-0.4904,1.8326,True,70,1.5,67.0
8,4,8,-0.0087,-0.6403,2.0944,True,66,1.5,63.0
8,4,9,-0.3194,-0.8786,2.3562,True,63,1.5,60.0
8,4,10,-0.5577,-1.1893,2.618,True,59,1.5,56.0
8,4,11,-0.7076,-1.5511,2.8798,True,58,1.5,55.0
8,4,12,-0.7587,-1.9393,3.1416,True,59,1.5,56.0
8,4,13,-0.7076,-2.3275,3.4034,True,50,1.5,47.0
8,4,14,-0.5577,-2.6893,3.6652,True,43,1.5,40.0
8,4,15,-0.3194,-3.0,3.927,True,36,1.5,33.0
8,4,16,-0.0087,-3.2383,4.1888,True,25,1.5,22.0
8,4,17,0.3531,-3.3882,4.4506,True,14,1.5,11.0
8,4,18,0.7413,-3.4393,4.7124,True,8,1.5,5.0
8,4,19,1.1295,-3.3882,4.9742,True,1,1.5,-2.0
8,4,20,1.4913,-3.2383,5.236,True,0,1.5,-3.0
8,4,21,1.802,-3.0,5.4978,True,0,1.5,-3.0
8,4,22,2.0403,-2.6893,5.7596,True,0,1.5,-3.0
8,4,23,2.1902,-2.3275,6.0214,False,0,1.5,-9999.0
8,5,0,1.8531,-0.4904,0.0,True,7,1.5,4.0
8,5,1,1.802,-0.1022,0.2618,True,15,1.5,12.0
8,5,2,1.6521,0.2596,0.5236,True,28,1.5,25.0
8,5,3,1.4138,0.5703,0.7854,True,40,1.5,37.0
8,5,4,1.1031,0.8086,1.0472,True,49,1.5,46.0
8,5,5,0.7413,0.9585,1.309,True,43,1.5,40.0
8,5,6,0.3531,1.0096,1.5708,False,0,1.5,-9999.0
8,5,7,-0.0351,0.9585,1.8326,False,0,1.5,-9999.0
8,5,8,-0.3969,0.8086,2.0944,True,4,1.5,1.0
8,5,9,-0.7076,0.5703,2.3562,True,45,1.5,42.0
8,5,10,-0.9459,0.2596,2.618,True,38,1.5,35.0
8,5,11,-1.0958,-0.1022,2.8798,True,26,1.5,23.0
8,5,12,-1.1469,-0.4904,3.1416,True,25,1.5,22.0
8,5,13,-1.0958,-0.8786,3.4034,True,15,1.5,12.0
8,5,14,-0.9459,-1.2404,3.6652,True,16,1.5,13.0
8,5,15,-0.7076,-1.5511,3.927,True,20,1.5,17.0
8,5,16,-0.3969,-1.7894,4.1888,True,22,1.5,19.0
8,5,17,-0.0351,-1.9393,4.4506,True,18,1.5,15.0
8,5,18,0.3531,-1.9904,4.7124,True,12,1.5,9.0
8,5,19,0.7413,-1.9393,4.9742,True,0,1.5,-3.0
8,5,20,1.1031,-1.7894,5.236,True,0,1.5,-3.0
8,5,21,1.4138,-1.5511,5.4978,True,0,1.5,-3.0
8,5,22,1.6521,-1.2404,5.7596,True,1,1.5,-2.0
8,5,23,1.802,-0.8786,6.0214,True,2,1.5,-1.0
8,6,0,2.6031,0.8086,0.0,False,0,1.5,-9999.0
8,6,1,2.552,1.1968,0.2618,False,0,1.5,-9999.0
8,6,2,2.4021,1.5586,0.5236,False,0,1.5,-9999.0
8,6,3,2.1638,1.8693,0.7854,False,0,1.5,-9999.0
8,6,4,1.8531,2.1076,1.0472,True,53,1.5,50.0
8,6,5,1.4913,2.2575,1.309,True,95,1.5,92.0
8,6,6,1.1031,2.3086,1.5708,True,112,1.5,109.0
8,6,7,0.7149,2.2575,1.8326,True,125,1.5,122.0
8,6,8,0.3531,2.1076,2.0944,False,0,1.5,-9999.0
8,6,9,0.0424,1.8693,2.3562,False,0,1.5,-9999.0
8,6,10,-0.1959,1.5586,2.618,False,0,1.5,-9999.0
8,6,11,-0.3458,1.1968,2.8798,False,0,1.5,-9999.0
8,6,12,-0.3969,0.8086,3.1416,True,4,1.5,1.0
8,6,13,-0.3458,0.4204,3.4034,True,13,1.5,10.0
8,6,14,-0.1959,0.0586,3.6652,True,13,1.5,10.0
8,6,15,0.0424,-0.2521,3.927,True,6,1.5,3.0
8,6,16,0.3531,-0.4904,4.1888,True,0,1.5,-3.0
8,6,17,0.7149,-0.6403,4.4506,True,0,1.5,-3.0
8,6,18,1.1031,-0.6914,4.7124,True,0,1.5,-3.0
8,6,19,1.4913,-0.6403,4.9742,True,0,1.5,-3.0
8,6,20,1.8531,-0.4904,5.236,True,0,1.5,-3.0
8,6,21,2.1638,-0.2521,5.4978,False,0,1.5,-9999.0
8,6,22,2.4021,0.0586,5.7596,False,0,1.5,-9999.0
8,6,23,2.552,0.4204,6.0214,False,0,1.5,-9999.0
8,7,0,2.2149,2.2575,0.0,False,0,1.5,-9999.0
8,7,1,2.1638,2.6457,0.2618,True,41,1.5,38.0
8,7,2,2.0139,3.0075,0.5236,True,39,1.5,36.0
8,7,3,1.7756,3.3182,0.7854,True,33,1.5,30.0
8,7,4,1.4649,3.5565,1.0472,True,27,1.5,24.0
8,7,5,1.1031,3.7064,1.309,True,21,1.5,18.0
8,7,6,0.7149,3.7575,1.5708,True,20,1.5,17.0
8,7,7,0.3267,3.7064,1.8326,True,20,1.5,17.0
8,7,8,-0.0351,3.5565,2.0944,True,29,1.5,26.0
8,7,9,-0.3458,3.3182,2.3562,True,38,1.5,35.0
8,7,10,-0.5841,3.0075,2.618,True,46,1.5,43.0
8,7,11,-0.734,2.6457,2.8798,True,45,1.5,42.0
8,7,12,-0.7851,2.2575,3.1416,True,41,1.5,38.0
8,7,13,-0.734,1.8693,3.4034,True,31,1.5,28.0
8,7,14,-0.5841,1.5075,3.6652,False,0,1.5,-9999.0
8,7,15,-0.3458,1.1968,3.927,False,0,1.5,-9999.0
8,7,16,-0.0351,0.9585,4.1888,False,0,1.5,-9999.0
8,7,17,0.3267,0.8086,4.4506,False,0,1.5,-9999.0
8,7,18,0.7149,0.7575,4.7124,True,0,1.5,-3.0
8,7,19,1.1031,0.8086,4.9742,True,0,1.5,-3.0
8,7,20,1.4649,0.9585,5.236,True,0,1.5,-3.0
8,7,21,1.7756,1.1968,5.4978,True,0,1.5,-3.0
8,7,22,2.0139,1.5075,5.7596,False,0,1.5,-9999.0
8,7,23,2.1638,1.8693,6.0214,False,0,1.5,-9999.0
8,8,0,0.9159,3.0075,0.0,True,13,1.5,10.0
8,8,1,0.8648,3.3957,0.2618,True,15,1.5,12.0
8,8,2,0.7149,3.7575,0.5236,True,12,1.5,9.0
8,8,3,0.4766,4.0682,0.7854,False,0,1.5,-9999.0
8,8,4,0.1659,4.3065,1.0472,False,0,1.5,-9999.0
8,8,5,-0.1959,4.4564,1.309,False,0,1.5,-9999.0
8,8,6,-0.5841,4.5075,1.5708,False,0,1.5,-9999.0
8,8,7,-0.9723,4.4564,1.8326,False,0,1.5,-9999.0
8,8,8,-1.3341,4.3065,2.0944,False,0,1.5,-9999.0
8,8,9,-1.6448,4.0682,2.3562,False,0,1.5,-9999.0
8,8,10,-1.8831,3.7575,2.618,True,64,1.5,61.0
8,8,11,-2.033,3.3957,2.8798,True,91,1.5,88.0
8,8,12,-2.0841,3.0075,3.1416,True,113,1.5,110.0
8,8,13,-2.033,2.6193,3.4034,True,119,1.5,116.0
8,8,14,-1.8831,2.2575,3.6652,True,3,1.5,-0.0
8,8,15,-1.6448,1.9468,3.927,True,4,1.5,1.0
8,8,16,-1.3341,1.7085,4.1888,True,6,1.5,3.0
8,8,17,-0.9723,1.5586,4.4506,True,2,1.5,-1.0
8,8,18,-0.5841,1.5075,4.7124,False,0,1.5,-9999.0
8,8,19,-0.1959,1.5586,4.9742,False,0,1.5,-9999.0
8,8,20,0.1659,1.7085,5.236,False,0,1.5,-9999.0
8,8,21,0.4766,1.9468,5.4978,True,0,1.5,-3.0
8,8,22,0.7149,2.2575,5.7596,True,0,1.5,-3.0
8,8,23,0.8648,2.6193,6.0214,True,9,1.5,6.0
8,9,0,-0.533,2.6193,0.0,True,0,1.5,-3.0
8,9,1,-0.5841,3.0075,0.2618,True,0,1.5,-3.0
8,9,2,-0.734,3.3693,0.5236,True,0,1.5,-3.0
8,9,3,-0.9723,3.68,0.7854,True,0,1.5,-3.0
8,9,4,-1.283,3.9183,1.0472,True,0,1.5,-3.0
8,9,5,-1.6448,4.0682,1.309,False,0,1.5,-9999.0
8,9,6,-2.033,4.1193,1.5708,False,0,1.5,-9999.0
8,9,7,-2.4212,4.0682,1.8326,False,0,1.5,-9999.0
8,9,8,-2.783,3.9183,2.0944,True,19,1.5,16.0
8,9,9,-3.0937,3.68,2.3562,True,34,1.5,31.0
8,9,10,-3.332,3.3693,2.618,True,56,1.5,53.0
8,9,11,-3.4819,3.0075,2.8798,True,78,1.5,75.0
8,9,12,-3.533,2.6193,3.1416,True,103,1.5,100.0
8,9,13,-3.4819,2.2311,3.4034,True,126,1.5,123.0
8,9,14,-3.332,1.8693,3.6652,True,136,1.5,133.0
8,9,15,-3.0937,1.5586,3.927,True,126,1.5,123.0
8,9,16,-2.783,1.3203,4.1888,True,112,1.5,109.0
8,9,17,-2.4212,1.1704,4.4506,True,93,1.5,90.0
8,9,18,-2.033,1.1193,4.7124,False,0,1.5,-9999.0
8,9,19,-1.6448,1.1704,4.9742,False,0,1.5,-9999.0
8,9,20,-1.283,1.3203,5.236,False,0,1.5,-9999.0
8,9,21,-0.9723,1.5586,5.4978,True,0,1.5,-3.0
8,9,22,-0.734,1.8693,5.7596,True,0,1.5,-3.0
8,9,23,-0.5841,2.2311,6.0214,True,0,1.5,-3.0
8,10,0,-1.832,1.8693,0.0,False,0,1.5,-9999.0
8,10,1,-1.8831,2.2575,0.2618,False,0,1.5,-9999.0
8,10,2,-2.033,2.6193,0.5236,True,0,1.5,-3.0
8,10,3,-2.2713,2.93,0.7854,True,0,1.5,-3.0
8,10,4,-2.582,3.1683,1.0472,True,0,1.5,-3.0
8,10,5,-2.9438,3.3182,1.309,True,1,1.5,-2.0
8,10,6,-3.332,3.3693,1.5708,True,8,1.5,5.0
8,10,7,-3.7202,3.3182,1.8326,True,8,1.5,5.0
8,10,8,-4.082,3.1683,2.0944,True,8,1.5,5.0
8,10,9,-4.3927,2.93,2.3562,True,12,1.5,9.0
8,10,10,-4.631,2.6193,2.618,True,15,1.5,12.0
8,10,11,-4.7809,2.2575,2.8798,True,21,1.5,18.0
8,10,12,-4.832,1.8693,3.1416,True,28,1.5,25.0
8,10,13,-4.7809,1.4811,3.4034,True,44,1.5,41.0
8,10,14,-4.631,1.1193,3.6652,True,57,1.5,54.0
8,10,15,-4.3927,0.8086,3.927,True,77,1.5,74.0
8,10,16,-4.082,0.5703,4.1888,True,93,1.5,90.0
8,10,17,-3.7202,0.4204,4.4506,True,102,1.5,99.0
8,10,18,-3.332,0.3693,4.7124,True,96,1.5,93.0
8,10,19,-2.9438,0.4204,4.9742,True,73,1.5,70.0
8,10,20,-2.582,0.5703,5.236,True,50,1.5,47.0
8,10,21,-2.2713,0.8086,5.4978,True,31,1.5,28.0
8,10,22,-2.033,1.1193,5.7596,False,0,1.5,-9999.0
8,10,23,-1.8831,1.4811,6.0214,False,0,1.5,-9999.0
8,11,0,-2.2202,0.4204,0.0,True,4,1.5,1.0
8,11,1,-2.2713,0.8086,0.2618,True,0,1.5,-3.0
8,11,2,-2.4212,1.1704,0.5236,True,0,1.5,-3.0
8,11,3,-2.6595,1.4811,0.7854,True,0,1.5,-3.0
8,11,4,-2.9702,1.7194,1.0472,True,0,1.5,-3.0
8,11,5,-3.332,1.8693,1.309,True,0,1.5,-3.0
8,11,6,-3.7202,1.9204,1.5708,True,9,1.5,6.0
8,11,7,-4.1084,1.8693,1.8326,True,11,1.5,8.0
8,11,8,-4.4702,1.7194,2.0944,True,10,1.5,7.0
8,11,9,-4.7809,1.4811,2.3562,True,8,1.5,5.0
8,11,10,-5.0192,1.1704,2.618,True,3,1.5,0.0
8,11,11,-5.1691,0.8086,2.8798,True,3,1.5,-0.0
8,11,12,-5.2202,0.4204,3.1416,True,10,1.5,7.0
8,11,13,-5.1691,0.0322,3.4034,True,20,1.5,17.0
8,11,14,-5.0192,-0.3296,3.6652,True,38,1.5,35.0
8,11,15,-4.7809,-0.6403,3.927,True,59,1.5,56.0
8,11,16,-4.4702,-0.8786,4.1888,True,83,1.5,80.0
8,11,17,-4.1084,-1.0285,4.4506,True,98,1.5,95.0
8,11,18,-3.7202,-1.0796,4.7124,True,99,1.5,96.0
8,11,19,-3.332,-1.0285,4.9742,True,89,1.5,86.0
8,11,20,-2.9702,-0.8786,5.236,True,67,1.5,64.0
8,11,21,-2.6595,-0.6403,5.4978,True,43,1.5,40.0
8,11,22,-2.4212,-0.3296,5.7596,True,25,1.5,22.0
8,11,23,-2.2713,0.0322,6.0214,True,11,1.5,8.0
8,12,0,-2.2202,-1.0796,0.0,True,6,1.5,3.0
8,12,1,-2.2713,-0.6914,0.2618,True,0,1.5,-3.0
8,12,2,-2.4212,-0.3296,0.5236,True,0,1.5,-3.0
8,12,3,-2.6595,-0.0189,0.7854,True,0,1.5,-3.0
8,12,4,-2.9702,0.2194,1.0472,True,0,1.5,-3.0
8,12,5,-3.332,0.3693,1.309,True,0,1.5,-3.0
8,12,6,-3.7202,0.4204,1.5708,True,0,1.5,-3.0
8,12,7,-4.1084,0.3693,1.8326,True,0,1.5,-3.0
8,12,8,-4.4702,0.2194,2.0944,True,0,1.5,-3.0
8,12,9,-4.7809,-0.0189,2.3562,True,0,1.5,-3.0
8,12,10,-5.0192,-0.3296,2.618,True,0,1.5,-3.0
8,12,11,-5.1691,-0.6914,2.8798,True,2,1.5,-1.0
8,12,12,-5.2202,-1.0796,3.1416,True,10,1.5,7.0
8,12,13,-5.1691,-1.4678,3.4034,True,18,1.5,15.0
8,12,14,-5.0192,-1.8296,3.6652,True,22,1.5,19.0
8,12,15,-4.7809,-2.1403,3.927,True,29,1.5,26.0
8,12,16,-4.4702,-2.3786,4.1888,True,35,1.5,32.0
8,12,17,-4.1084,-2.5285,4.4506,True,39,1.5,36.0
8,12,18,-3.7202,-2.5796,4.7124,True,39,1.5,36.0
8,12,19,-3.332,-2.5285,4.9742,True,38,1.5,35.0
8,12,20,-2.9702,-2.3786,5.236,True,32,1.5,29.0
8,12,21,-2.6595,-2.1403,5.4978,True,26,1.5,23.0
8,12,22,-2.4212,-1.8296,5.7596,True,21,1.5,18.0
8,12,23,-2.2713,-1.4678,6.0214,True,13,1.5,10.0
8,13,0,-2.6084,-2.5285,0.0,True,5,1.5,2.0
8,13,1,-2.6595,-2.1403,0.2618,True,5,1.5,2.0
8,13,2,-2.8094,-1.7785,0.5236,True,5,1.5,2.0
8,13,3,-3.0477,-1.4678,0.7854,True,2,1.5,-1.0
8,13,4,-3.3584,-1.2295,1.0472,True,0,1.5,-3.0
8,13,5,-3.7202,-1.0796,1.309,True,0,1.5,-3.0
8,13,6,-4.1084,-1.0285,1.5708,True,0,1.5,-3.0
8,13,7,-4.4966,-1.0796,1.8326,True,0,1.5,-3.0
8,13,8,-4.8584,-1.2295,2.0944,True,0,1.5,-3.0
8,13,9,-5.1691,-1.4678,2.3562,True,0,1.5,-3.0
8,13,10,-5.4074,-1.7785,2.618,True,0,1.5,-3.0
8,13,11,-5.5573,-2.1403,2.8798,True,0,1.5,-3.0
8,13,12,-5.6084,-2.5285,3.1416,True,0,1.5,-3.0
8,13,13,-5.5573,-2.9167,3.4034,True,0,1.5,-3.0
8,13,14,-5.4074,-3.2785,3.6652,True,1,1.5,-2.0
8,13,15,-5.1691,-3.5892,3.927,True,0,1.5,-3.0
8,13,16,-4.8584,-3.8275,4.1888,True,0,1.5,-3.0
8,13,17,-4.4966,-3.9774,4.4506,False,0,1.5,-9999.0
8,13,18,-4.1084,-4.0285,4.7124,False,0,1.5,-9999.0
8,13,19,-3.7202,-3.9774,4.9742,False,0,1.5,-9999.0
8,13,20,-3.3584,-3.8275,5.236,True,1,1.5,-2.0
8,13,21,-3.0477,-3.5892,5.4978,True,1,1.5,-2.0
8,13,22,-2.8094,-3.2785,5.7596,True,2,1.5,-1.0
8,13,23,-2.6595,-2.9167,6.0214,True,4,1.5,1.0
8,14,0,-1.1084,-2.5285,0.0,False,0,1.5,-9999.0
8,14,1,-1.1595,-2.1403,0.2618,False,0,1.5,-9999.0
8,14,2,-1.3094,-1.7785,0.5236,False,0,1.5,-9999.0
8,14,3,-1.5477,-1.4678,0.7854,False,0,1.5,-9999.0
8,14,4,-1.8584,-1.2295,1.0472,False,0,1.5,-9999.0
8,14,5,-2.2202,-1.0796,1.309,True,0,1.5,-3.0
8,14,6,-2.6084,-1.0285,1.5708,True,0,1.5,-3.0
8,14,7,-2.9966,-1.0796,1.8326,True,0,1.5,-3.0
8,14,8,-3.3584,-1.2295,2.0944,True,0,1.5,-3.0
8,14,9,-3.6691,-1.4678,2.3562,True,0,1.5,-3.0
8,14,10,-3.9074,-1.7785,2.618,True,0,1.5,-3.0
8,14,11,-4.0573,-2.1403,2.8798,True,1,1.5,-2.0
8,14,12,-4.1084,-2.5285,3.1416,True,0,1.5,-3.0
8,14,13,-4.0573,-2.9167,3.4034,True,0,1.5,-3.0
8,14,14,-3.9074,-3.2785,3.6652,True,0,1.5,-3.0
8,14,15,-3.6691,-3.5892,3.927,True,0,1.5,-3.0
8,14,16,-3.3584,-3.8275,4.1888,True,0,1.5,-3.0
8,14,17,-2.9966,-3.9774,4.4506,False,0,1.5,-9999.0
8,14,18,-2.6084,-4.0285,4.7124,False,0,1.5,-9999.0
8,14,19,-2.2202,-3.9774,4.9742,False,0,1.5,-9999.0
8,14,20,-1.8584,-3.8275,5.236,True,0,1.5,-3.0
8,14,21,-1.5477,-3.5892,5.4978,True,0,1.5,-3.0
8,14,22,-1.3094,-3.2785,5.7596,True,0,1.5,-3.0
8,14,23,-1.1595,-2.9167,6.0214,True,0,1.5,-3.0
8,15,0,-2.5573,-2.1403,0.0,True,0,1.5,-3.0
8,15,1,-2.6084,-1.7521,0.2618,True,0,1.5,-3.0
8,15,2,-2.7583,-1.3903,0.5236,True,0,1.5,-3.0
8,15,3,-2.9966,-1.0796,0.7854,True,0,1.5,-3.0
8,15,4,-3.3073,-0.8413,1.0472,True,0,1.5,-3.0
8,15,5,-3.6691,-0.6914,1.309,True,0,1.5,-3.0
8,15,6,-4.0573,-0.6403,1.5708,True,0,1.5,-3.0
8,15,7,-4.4455,-0.6914,1.8326,True,0,1.5,-3.0
8,15,8,-4.8073,-0.8413,2.0944,True,0,1.5,-3.0
8,15,9,-5.118,-1.0796,2.3562,True,0,1.5,-3.0
8,15,10,-5.3563,-1.3903,2.618,True,0,1.5,-3.0
8,15,11,-5.5062,-1.7521,2.8798,True,0,1.5,-3.0
8,15,12,-5.5573,-2.1403,3.1416,True,0,1.5,-3.0
8,15,13,-5.5062,-2.5285,3.4034,True,0,1.5,-3.0
8,15,14,-5.3563,-2.8903,3.6652,True,0,1.5,-3.0
8,15,15,-5.118,-3.201,3.927,True,0,1.5,-3.0
8,15,16,-4.8073,-3.4393,4.1888,True,0,1.5,-3.0
8,15,17,-4.4455,-3.5892,4.4506,True,0,1.5,-3.0
8,15,18,-4.0573,-3.6403,4.7124,True,0,1.5,-3.0
8,15,19,-3.6691,-3.5892,4.9742,True,0,1.5,-3.0
8,15,20,-3.3073,-3.4393,5.236,True,0,1.5,-3.0
8,15,21,-2.9966,-3.201,5.4978,True,0,1.5,-3.0
8,15,22,-2.7583,-2.8903,5.7596,True,0,1.5,-3.0
8,15,23,-2.6084,-2.5285,6.0214,True,0,1.5,-3.0
9,0,0,6.1,2.6,0.0,False,0,1.5,-9999.0
9,0,1,6.0489,2.9882,0.2618,False,0,1.5,-9999.0
9,0,2,5.899,3.35,0.5236,True,0,1.5,-3.0
9,0,3,5.6607,3.6607,0.7854,True,0,1.5,-3.0
9,0,4,5.35,3.899,1.0472,True,0,1.5,-3.0
9,0,5,4.9882,4.0489,1.309,False,0,1.5,-9999.0
9,0,6,4.6,4.1,1.5708,False,0,1.5,-9999.0
9,0,7,4.2118,4.0489,1.8326,False,0,1.5,-9999.0
9,0,8,3.85,3.899,2.0944,True,17,1.5,14.0
9,0,9,3.5393,3.6607,2.3562,True,30,1.5,27.0
9,0,10,3.301,3.35,2.618,True,40,1.5,37.0
9,0,11,3.1511,2.9882,2.8798,True,51,1.5,48.0
9,0,12,3.1,2.6,3.1416,True,55,1.5,52.0
9,0,13,3.1511,2.2118,3.4034,True,65,1.5,62.0
9,0,14,3.301,1.85,3.6652,True,73,1.5,70.0
9,0,15,3.5393,1.5393,3.927,True,82,1.5,79.0
9,0,16,3.85,1.301,4.1888,True,91,1.5,88.0
9,0,17,4.2118,1.1511,4.4506,True,99,1.5,96.0
9,0,18,4.6,1.1,4.7124,True,94,1.5,91.0
9,0,19,4.9882,1.1511,4.9742,True,77,1.5,74.0
9,0,20,5.35,1.301,5.236,True,54,1.5,51.0
9,0,21,5.6607,1.5393,5.4978,True,35,1.5,32.0
9,0,22,5.899,1.85,5.7596,True,18,1.5,15.0
9,0,23,6.0489,2.2118,6.0214,False,0,1.5,-9999.0
9,1,0,5.7118,1.1511,0.0,True,4,1.5,1.0
9,1,1,5.6607,1.5393,0.2618,True,1,1.5,-2.0
9,1,2,5.5108,1.9011,0.5236,True,0,1.5,-3.0
9,1,3,5.2725,2.2118,0.7854,True,0,1.5,-3.0
9,1,4,4.9618,2.4501,1.0472,True,0,1.5,-3.0
9,1,5,4.6,2.6,1.309,True,0,1.5,-3.0
9,1,6,4.2118,2.6511,1.5708,True,10,1.5,7.0
9,1,7,3.8236,2.6,1.8326,True,18,1.5,15.0
9,1,8,3.4618,2.4501,2.0944,True,28,1.5,25.0
9,1,9,3.1511,2.2118,2.3562,True,29,1.5,26.0
9,1,10,2.9128,1.9011,2.618,True,21,1.5,18.0
9,1,11,2.7629,1.5393,2.8798,True,14,1.5,11.0
9,1,12,2.7118,1.1511,3.1416,True,14,1.5,11.0
9,1,13,2.7629,0.7629,3.4034,True,12,1.5,9.0
9,1,14,2.9128,0.4011,3.6652,True,19,1.5,16.0
9,1,15,3.1511,0.0904,3.927,True,26,1.5,23.0
9,1,16,3.4618,-0.1479,4.1888,True,29,1.5,26.0
9,1,17,3.8236,-0.2978,4.4506,True,51,1.5,48.0
9,1,18,4.2118,-0.3489,4.7124,True,63,1.5,60.0
9,1,19,4.6,-0.2978,4.9742,True,65,1.5,62.0
9,1,20,4.9618,-0.1479,5.236,True,51,1.5,48.0
9,1,21,5.2725,0.0904,5.4978,True,39,1.5,36.0
9,1,22,5.5108,0.4011,5.7596,True,25,1.5,22.0
9,1,23,5.6607,0.7629,6.0214,True,13,1.5,10.0
9,2,0,6.1,-0.2978,0.0,False,0,1.5,-9999.0
9,2,1,6.0489,0.0904,0.2618,False,0,1.5,-9999.0
9,2,2,5.899,0.4522,0.5236,True,1,1.5,-2.0
9,2,3,5.6607,0.7629,0.7854,True,0,1.5,-3.0
9,2,4,5.35,1.0012,1.0472,True,0,1.5,-3.0
9,2,5,4.9882,1.1511,1.309,True,0,1.5,-3.0
9,2,6,4.6,1.2022,1.5708,True,0,1.5,-3.0
9,2,7,4.2118,1.1511,1.8326,True,0,1.5,-3.0
9,2,8,3.85,1.0012,2.0944,True,3,1.5,0.0
9,2,9,3.5393,0.7629,2.3562,True,9,1.5,6.0
9,2,10,3.301,0.4522,2.618,True,13,1.5,10.0
9,2,11,3.1511,0.0904,2.8798,True,19,1.5,16.0
9,2,12,3.1,-0.2978,3.1416,True,20,1.5,17.0
9,2,13,3.1511,-0.686,3.4034,True,2,1.5,-1.0
9,2,14,3.301,-1.0478,3.6652,False,0,1.5,-9999.0
9,2,15,3.5393,-1.3585,3.927,False,0,1.5,-9999.0
9,2,16,3.85,-1.5968,4.1888,False,0,1.5,-9999.0
